Neighbourhood Cleansed,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Guests Included,Extra People,Price_log
Cuatro Caminos,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50",22.0,2,5,3.1354942159291497
Cuatro Caminos,Apartment,Entire home/apt,6,1.0,2.0,5.0,Pull-out Sofa,"TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",80.0,4,20,4.394449154672439
Cuatro Caminos,Apartment,Entire home/apt,4,1.0,1.0,1.0,Pull-out Sofa,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",45.0,2,10,3.828641396489095
Castillejos,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",43.0,2,11,3.784189633918261
Castillejos,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",24.0,1,25,3.2188758248682006
Castillejos,Other,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron,Laptop friendly workspace",90.0,2,0,4.51085950651685
Castillejos,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",20.0,1,10,3.044522437723423
Vallehermoso,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Laptop friendly workspace",37.0,1,8,3.6375861597263857
Vallehermoso,Apartment,Private room,1,2.0,3.0,3.0,Real Bed,,35.0,1,0,3.58351893845611
Vallehermoso,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",21.0,1,15,3.091042453358316
Vallehermoso,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo",25.0,1,0,3.258096538021482
Almenara,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",41.0,1,5,3.7376696182833684
Almenara,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",29.0,1,10,3.4011973816621555
Valdeacederas,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",50.0,2,15,3.9318256327243257
Valdeacederas,House,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Smoking allowed,Pets allowed,Breakfast,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",80.0,1,0,4.394449154672439
Gaztambide,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Iron",300.0,1,0,5.707110264748875
Gaztambide,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Gym,Elevator in building,Heating,Washer,Dryer,First aid kit,Safety card,Fire extinguisher,Essentials",100.0,2,30,4.61512051684126
Gaztambide,Apartment,Private room,1,2.5,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",13.0,1,8,2.639057329615259
Gaztambide,House,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials",25.0,1,0,3.258096538021482
Arapiles,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",25.0,1,0,3.258096538021482
Arapiles,Apartment,Entire home/apt,5,1.0,3.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",80.0,2,30,4.394449154672439
Arapiles,House,Private room,6,2.0,1.0,4.0,Real Bed,"Smoking allowed,Pets allowed",35.0,2,20,3.58351893845611
Trafalgar,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Family/kid friendly,Washer,Essentials,Lock on bedroom door,Hangers,translation missing: en.hosting_amenity_50",90.0,1,0,4.51085950651685
Trafalgar,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",21.0,1,19,3.091042453358316
Trafalgar,Apartment,Entire home/apt,10,3.0,4.0,8.0,Real Bed,"TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",500.0,1,0,6.2166061010848646
Trafalgar,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials",39.0,1,0,3.6888794541139363
Trafalgar,Apartment,Entire home/apt,3,2.0,2.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,1,0,4.61512051684126
Trafalgar,Apartment,Private room,2,1.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Cat(s),Elevator in building,Heating,Washer,Hair dryer,Iron",24.0,1,28,3.2188758248682006
Trafalgar,House,Entire home/apt,10,2.0,4.0,7.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer",250.0,6,0,5.5254529391317835
Trafalgar,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"TV,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers",70.0,2,20,4.2626798770413155
Trafalgar,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer",25.0,1,0,3.258096538021482
Trafalgar,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",40.0,1,0,3.713572066704308
Trafalgar,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace",48.0,2,10,3.8918202981106265
Almagro,Apartment,Entire home/apt,7,2.0,2.0,4.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Children’s books and toys,Crib",105.0,2,18,4.663439094112067
Almagro,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials",49.0,2,10,3.912023005428146
Almagro,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Pool,Kitchen,Free parking on premises,Elevator in building,Washer,First aid kit,Lock on bedroom door,Iron,Laptop friendly workspace",89.0,1,0,4.499809670330265
Rios Rosas,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Laptop friendly workspace",60.0,1,0,4.110873864173311
Rios Rosas,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",100.0,1,0,4.61512051684126
Peñagrande,Apartment,Entire home/apt,8,2.0,1.0,6.0,Real Bed,"Wireless Internet,Air conditioning,Pool,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",94.0,2,11,4.553876891600541
Argüelles,House,Private room,6,2.0,1.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace",60.0,2,25,4.110873864173311
Argüelles,Apartment,Entire home/apt,2,1.0,2.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",57.0,1,20,4.060443010546419
Argüelles,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Gym,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Laptop friendly workspace",68.0,1,0,4.23410650459726
Argüelles,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",27.0,1,19,3.332204510175204
Argüelles,Guesthouse,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Safety card,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50",70.0,1,0,4.2626798770413155
Argüelles,Apartment,Entire home/apt,3,1.0,2.0,3.0,Real Bed,"TV,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Private entrance,Baby bath,Room-darkening shades",95.0,3,0,4.564348191467836
Argüelles,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",105.0,1,0,4.663439094112067
Valverde,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",39.0,1,0,3.6888794541139363
Casa de Campo,House,Private room,2,1.0,1.0,1.0,Real Bed,,406.0,1,0,6.008813185442595
Ciudad Universitaria,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49",65.0,1,0,4.189654742026425
Ciudad Universitaria,House,Private room,2,1.0,1.0,1.0,Real Bed,,408.0,1,0,6.013715156042802
Ciudad Universitaria,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials",63.0,2,15,4.1588830833596715
Numancia,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Essentials,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,1,0,3.258096538021482
Numancia,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Baby bath,High chair,Crib,Pack ’n Play/travel crib,Room-darkening shades,Children’s dinnerware",55.0,1,0,4.02535169073515
Numancia,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,"Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",25.0,2,6,3.258096538021482
El Plantío,House,Entire home/apt,5,3.5,3.0,4.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Pets allowed,Buzzer/wireless intercom,Heating,Washer,Smoke detector,First aid kit,Safety card,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",150.0,1,0,5.017279836814924
Cármenes,Other,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,translation missing: en.hosting_amenity_49",26.0,1,0,3.295836866004329
Puerta del Angel,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Dog(s),Heating,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",35.0,1,10,3.58351893845611
Puerta del Angel,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Family/kid friendly,Washer,Hangers,Laptop friendly workspace",29.0,1,0,3.4011973816621555
Puerta del Angel,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",35.0,1,0,3.58351893845611
Puerta del Angel,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials",18.0,1,10,2.9444389791664403
Puerta del Angel,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron",40.0,2,15,3.713572066704308
Puerta del Angel,Loft,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo",90.0,1,0,4.51085950651685
Lucero,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Shampoo,Hangers,Iron",16.0,1,11,2.833213344056216
Lucero,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Free parking on premises,Elevator in building,Heating,Essentials,Hangers,Laptop friendly workspace",20.0,1,7,3.044522437723423
Lucero,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",16.0,1,8,2.833213344056216
Lucero,Apartment,Private room,2,1.5,1.0,2.0,Pull-out Sofa,"TV,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Other pet(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,First aid kit,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",20.0,1,19,3.044522437723423
Lucero,Apartment,Private room,2,2.0,0.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_50",15.0,1,15,2.772588722239781
San Isidro,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"Smoking allowed,Pets allowed,Family/kid friendly",94.0,1,0,4.553876891600541
San Isidro,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Smoke detector,First aid kit,Essentials,Shampoo",45.0,1,0,3.828641396489095
Campamento,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer",40.0,1,0,3.713572066704308
Comillas,Bed & Breakfast,Private room,3,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",25.0,1,10,3.258096538021482
Comillas,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",32.0,3,9,3.4965075614664802
Opañel,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron",20.0,1,0,3.044522437723423
Opañel,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",28.0,1,0,3.367295829986474
Opañel,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,"Wireless Internet,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",30.0,1,25,3.4339872044851463
Vista Alegre,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron",29.0,1,10,3.4011973816621555
Los Rosales,Apartment,Shared room,5,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace",30.0,3,10,3.4339872044851463
Casco Histórico de Vallecas,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Pets live on this property,Elevator in building,Heating,Washer,Essentials,Shampoo,Hair dryer,Iron",50.0,1,0,3.9318256327243257
Ambroz,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,Family/kid friendly,16.0,1,0,2.833213344056216
Ambroz,Bed & Breakfast,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",19.0,1,0,2.995732273553991
Simancas,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Free parking on premises,Pets allowed,Pets live on this property,Elevator in building,Heating,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",15.0,1,0,2.772588722239781
Hellín,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Free parking on premises,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",20.0,1,0,3.044522437723423
Arcos,Bed & Breakfast,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Breakfast,Elevator in building,Heating,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",33.0,1,0,3.5263605246161616
Arcos,Apartment,Private room,2,0.5,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",20.0,1,0,3.044522437723423
Rejas,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"TV,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",65.0,2,15,4.189654742026425
Rejas,Apartment,Private room,2,1.5,1.0,2.0,Real Bed,"TV,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",40.0,1,0,3.713572066704308
Salvador,Apartment,Entire home/apt,4,1.0,2.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer",75.0,2,15,4.330733340286331
Salvador,House,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Wireless Internet,Air conditioning,Hot tub,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",18.0,1,13,2.9444389791664403
Ventas,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",14.0,1,5,2.70805020110221
Ventas,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo",50.0,1,0,3.9318256327243257
Pueblo Nuevo,Apartment,Entire home/apt,5,1.0,3.0,5.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Hangers,Hair dryer,Iron,Laptop friendly workspace",70.0,1,0,4.2626798770413155
Pueblo Nuevo,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,"Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer",35.0,1,0,3.58351893845611
Pueblo Nuevo,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_50",50.0,1,0,3.9318256327243257
Quintana,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",55.0,1,0,4.02535169073515
Quintana,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_50",15.0,1,0,2.772588722239781
